id,title,created_at,duration,url
2493025305,"BLAST.tv Austin Major 2025, Showmatch - Team USA vs Stream Team",2025-06-22T16:35:24Z,6h26m37s,https://www.twitch.tv/videos/2493025305
2492141783,"BLAST.tv Austin Major 2025, Semi-Finals - MOUZ vs Vitality",2025-06-21T16:49:38Z,7h12m44s,https://www.twitch.tv/videos/2492141783
2491219390,"BLAST.tv Austin Major 2025, Quarter-Finals, Day 2 - NAVI vs Vitality, FaZe vs The MongolZ",2025-06-20T16:45:26Z,7h12m55s,https://www.twitch.tv/videos/2491219390
2490363560,"BLAST.tv Austin Major 2025, Quarterfinal, Day 1 - Spirit vs MOUZ",2025-06-19T17:34:04Z,10h32m5s,https://www.twitch.tv/videos/2490363560
2486728026,"BLAST.tv Austin Major 2025, Stage 3, Day 4 - Stream A - Legacy vs MOUZ",2025-06-15T14:09:40Z,11h18m28s,https://www.twitch.tv/videos/2486728026
2485824420,"BLAST.tv Austin Major 2025, Stage 3, Day 3 - Stream A - Legacy vs Lynn Vision",2025-06-14T14:12:02Z,9h12m32s,https://www.twitch.tv/videos/2485824420
2484895485,"BLAST.tv Austin Major 2025, Stage 3, Day 2 - Stream A - 3DMAX vs Vitality",2025-06-13T14:18:14Z,8h21m30s,https://www.twitch.tv/videos/2484895485
2484020698,"BLAST.tv Austin Major 2025, Stage 3, Day 1 - Stream A - Vitality vs Legacy",2025-06-12T14:18:19Z,9h37m36s,https://www.twitch.tv/videos/2484020698
2482259774,"BLAST.tv Austin Major 2025, Stage 2, Day 4 - Stream A - Nemiga vs HEROIC",2025-06-10T14:11:52Z,8h49m7s,https://www.twitch.tv/videos/2482259774
2481394555,"BLAST.tv Austin Major 2025, Stage 2, Day 2 - Stream A",2025-06-09T14:11:06Z,10h46m41s,https://www.twitch.tv/videos/2481394555
2480518435,"BLAST.tv Austin Major 2025, Stage 2, Day 1 - Stream A",2025-06-08T14:14:51Z,8h14m50s,https://www.twitch.tv/videos/2480518435
2479564428,"BLAST.tv Austin Major 2025, Stage 1, Day 4",2025-06-07T14:19:35Z,9h39m6s,https://www.twitch.tv/videos/2479564428
2478639223,"BLAST.tv Austin Major 2025, Stage 1, Day 4 - NRG vs Lynn Vision",2025-06-06T14:16:33Z,9h4m41s,https://www.twitch.tv/videos/2478639223
2477768938,"BLAST.tv Austin Major 2025, Stage 1, Day 3 - Stream A - Complexity vs TYLOO",2025-06-05T14:10:46Z,9h22m26s,https://www.twitch.tv/videos/2477768938
2477106039,"BLAST.tv Austin Major 2025, Stage 1, Day 2 - Stream A - HEROIC vs FlyQuest",2025-06-04T19:10:56Z,3h51m33s,https://www.twitch.tv/videos/2477106039
2476893866,"BLAST.tv Austin Major 2025, Stage 1, Day 2 - Stream A - BetBoom vs Legacy",2025-06-04T14:20:53Z,4h48m57s,https://www.twitch.tv/videos/2476893866
2476022176,"BLAST.TV Austin Major 2025, Stage 1 - Day 1 - Complexity vs OG, B8 vs Imperial, TYLOO vs NRG, Wildcard vs Metizport",2025-06-03T14:27:37Z,10h46m58s,https://www.twitch.tv/videos/2476022176
2450097698,"BLAST Premier Rivals Season 1 2025, Day 5 - Grand Final - Vitality vs Falcons",2025-05-04T13:04:27Z,6h55m28s,https://www.twitch.tv/videos/2450097698
2447386097,"BLAST Premier Rivals Season 1 2025, Day 2 - paiN vs Wildcard, MOUZ vs Vitality, FlyQuest vs FaZe, Spirit vs Falcons",2025-05-01T11:52:24Z,10h50m17s,https://www.twitch.tv/videos/2447386097
